label,gloss
gloss_0000,04
gloss_0001,1
gloss_0002,100
gloss_0003,1000000
gloss_0004,100000000
gloss_0005,13
gloss_0006,1350000000
gloss_0007,15000
gloss_0008,18
gloss_0009,2
gloss_0010,200
gloss_0011,200000
gloss_0012,2020
gloss_0013,365
gloss_0014,55000
gloss_0015,8000
gloss_0016,950000000
gloss_0017,k
gloss_0018,tv
gloss_0019,~동안1
gloss_0020,~보다1
gloss_0021,~하자1
gloss_0022,~하자2
gloss_0023,가게1
gloss_0024,가게2
gloss_0025,가깝다1
gloss_0026,가끔1
gloss_0027,가난1
gloss_0028,가능1
gloss_0029,가다1
gloss_0030,가다3
gloss_0031,가다7
gloss_0032,가다8#
gloss_0033,가두다1
gloss_0034,가득하다3
gloss_0035,가라앉다4
gloss_0036,가만있다1
gloss_0037,가이드1
gloss_0038,가입1
gloss_0039,가입1#
gloss_0040,가정1
gloss_0041,가져가다1
gloss_0042,가져오다4
gloss_0043,가져오다6
gloss_0044,가져오다9
gloss_0045,가족2
gloss_0046,가지고다니다1
gloss_0047,가지다2
gloss_0048,가지다3
gloss_0049,가지다4
gloss_0050,가치1
gloss_0051,가평1
gloss_0052,간1
gloss_0053,간격1
gloss_0054,간단하다1
gloss_0055,간단하다2
gloss_0056,갈비3
gloss_0057,갈색1
gloss_0058,감동1
gloss_0059,감소3#
gloss_0060,감자1
gloss_0061,감정1
gloss_0062,갑자기2
gloss_0063,갑자기3
gloss_0064,갑자기5
gloss_0065,값늘다1
gloss_0066,값오르다1
gloss_0067,값오르다2
gloss_0068,강원도1
gloss_0069,강하다1
gloss_0070,같다1
gloss_0071,같다1#
gloss_0072,같다2
gloss_0073,같다6
gloss_0074,개1
gloss_0075,개인1
gloss_0076,거리두다3
gloss_0077,거북1
gloss_0078,걱정1
gloss_0079,건강1
gloss_0080,건조1
gloss_0081,건축1
gloss_0082,걷다1
gloss_0083,걷다1#
gloss_0084,걷다2#
gloss_0085,검사1
gloss_0086,검정1
gloss_0087,게3
gloss_0088,게으르다2
gloss_0089,견제1
gloss_0090,결국1
gloss_0091,결정1
gloss_0092,결혼1
gloss_0093,겸손1
gloss_0094,경기도2
gloss_0095,경쟁1
gloss_0096,경제1
gloss_0097,경주1
gloss_0098,경험1
gloss_0099,경험2
gloss_0100,계란1
gloss_0101,계산1
gloss_0102,계속1
gloss_0103,계약1
gloss_0104,계획1
gloss_0105,고기1
gloss_0106,고등1
gloss_0107,고등학교몇학년1
gloss_0108,고등학교이학년2
gloss_0109,고맙다1
gloss_0110,고민1
gloss_0111,고속도로1
gloss_0112,고양이1
gloss_0113,고집1
gloss_0114,골짜기1
gloss_0115,곰배령
gloss_0116,곰탕
gloss_0117,곳1
gloss_0118,곳1#
gloss_0119,공공1
gloss_0120,공범2
gloss_0121,공부1
gloss_0122,공부2
gloss_0123,공원1
gloss_0124,공주1
gloss_0125,공짜2
gloss_0126,공학
gloss_0127,과거1
gloss_0128,과자1
gloss_0129,과학1
gloss_0130,관심1
gloss_0131,관절2
gloss_0132,괌1
gloss_0133,광분4
gloss_0134,광양1
gloss_0135,괜찮다1
gloss_0136,괴롭히다2
gloss_0137,괴팍하다1
gloss_0138,교사1
gloss_0139,교육2
gloss_0140,교통1
gloss_0141,교통사고3
gloss_0142,구경1
gloss_0143,구분하다1
gloss_0144,구형1
gloss_0145,국물1
gloss_0146,군대1
gloss_0147,군산2
gloss_0148,굴2
gloss_0149,굽다1
gloss_0150,굽다2
gloss_0151,궁금하다1
gloss_0152,귀찮다1
gloss_0153,귤1
gloss_0154,그냥1
gloss_0155,그러면1
gloss_0156,그릇1
gloss_0157,그림1
gloss_0158,그립다1
gloss_0159,그만두다1
gloss_0160,근육1
gloss_0161,근육2
gloss_0162,글1
gloss_0163,긁다1#
gloss_0164,긁어모으다1
gloss_0165,금이가다1#
gloss_0166,급
gloss_0167,급하다2
gloss_0168,기계1
gloss_0169,기관1
gloss_0170,기다리다1
gloss_0171,기대1
gloss_0172,기도3
gloss_0173,기록1#
gloss_0174,기름1
gloss_0175,기본1
gloss_0176,기본2
gloss_0177,기분상하다1
gloss_0178,기억1
gloss_0179,기준5
gloss_0180,기차1
gloss_0181,기회1
gloss_0182,길1
gloss_0183,김밥1
gloss_0184,까지1
gloss_0185,깡패1
gloss_0186,깨끗하다1
gloss_0187,깨닫다3
gloss_0188,깨닫다6
gloss_0189,꼬마1
gloss_0190,꼴찌1
gloss_0191,꽉끼다1
gloss_0192,꿈1
gloss_0193,끈기1
gloss_0194,끊다1
gloss_0195,끓다1
gloss_0196,끓다2
gloss_0197,끓다3
gloss_0198,끝2
gloss_0199,나라1
gloss_0200,나쁘다1
gloss_0201,나쁘다2
gloss_0202,나이1
gloss_0203,나이:50살
gloss_0204,나이:5살
gloss_0205,나이:6살
gloss_0206,나이:7살
gloss_0207,나이:90살
gloss_0208,나타나다1#
gloss_0209,날1
gloss_0210,날씬하다3
gloss_0211,날짜(활용):10년
gloss_0212,날짜(활용):10일후
gloss_0213,날짜(활용):15년
gloss_0214,날짜(활용):1개월
gloss_0215,날짜(활용):1년
gloss_0216,날짜(활용):1년전
gloss_0217,날짜(활용):1년후
gloss_0218,날짜(활용):1일
gloss_0219,날짜(활용):1일전
gloss_0220,날짜(활용):20년
gloss_0221,날짜(활용):2일후
gloss_0222,날짜(활용):3년
gloss_0223,날짜(활용):3년전
gloss_0224,날짜(활용):7일후
gloss_0225,날짜:12월
gloss_0226,날짜:2월
gloss_0227,날짜:8월19일
gloss_0228,날짜:9월
gloss_0229,남동생1
gloss_0230,남자1
gloss_0231,남편1
gloss_0232,남해1
gloss_0233,낫다1
gloss_0234,낫다2
gloss_0235,낳다1
gloss_0236,내버려두다2
gloss_0237,냉면1
gloss_0238,너나같다1
gloss_0239,넓다1
gloss_0240,넓다2
gloss_0241,넓다3
gloss_0242,넘어지다2
gloss_0243,넣다1
gloss_0244,노랑1
gloss_0245,노래1
gloss_0246,노력1
gloss_0247,놀다1
gloss_0248,농구2
gloss_0249,농구3
gloss_0250,높다1
gloss_0251,뇌
gloss_0252,누구1
gloss_0253,누르다1
gloss_0254,눈1
gloss_0255,눈감다1
gloss_0256,눈깜빡이다1
gloss_0257,눈치1
gloss_0258,느끼다1
gloss_0259,늙다1
gloss_0260,다니다1
gloss_0261,다니다2
gloss_0262,다르다1
gloss_0263,다르다1#
gloss_0264,다리3
gloss_0265,다섯중하나1
gloss_0266,다스리다1
gloss_0267,다음1
gloss_0268,단독1
gloss_0269,단어1
gloss_0270,단어1#
gloss_0271,달다1
gloss_0272,달리기1
gloss_0273,달리다3
gloss_0274,달리다5
gloss_0275,닭1
gloss_0276,닮다1
gloss_0277,닮다2
gloss_0278,닮다3
gloss_0279,당구1
gloss_0280,당근
gloss_0281,대
gloss_0282,대구1
gloss_0283,대단하다1
gloss_0284,대변1
gloss_0285,대부분2
gloss_0286,대신1
gloss_0287,대신1#
gloss_0288,대장1
gloss_0289,대장3
gloss_0290,대추1
